dataset,algorithm,mechanism,rate,shd_mean,shd_std,fp_rate_mean,fp_rate_std,fn_rate_mean,fn_rate_std
sachs,PC,MCAR,0.1,26.333333333333332,4.325811331780539,0.7162994940477778,0.10137274587227081,0.6352941176470589,0.13851445637027665
sachs,PC,MCAR,0.2,23.833333333333332,2.913504032454123,0.6837441420758489,0.08335021034310541,0.647058823529412,0.10590488829376561
sachs,PC,MCAR,0.3,20.866666666666667,1.9605300714142442,0.692948347948348,0.08661669783099087,0.815686274509804,0.06686126790069828
sachs,PC,MCAR,0.5,17.333333333333332,0.7580980435789035,0.16666666666666666,0.3790490217894517,1.0,0.0
sachs,PC,MAR,0.1,26.5,4.447005966823691,0.7245568796827379,0.1048980952516105,0.6588235294117649,0.129614445745823
sachs,PC,MAR,0.2,23.666666666666668,4.079666427653067,0.6689378503869016,0.10255061372428591,0.6098039215686275,0.13332040664379086
sachs,PC,MAR,0.3,22.4,3.0805283917558355,0.6412748262516065,0.07707382944233819,0.6058823529411766,0.07899560400939998
sachs,PC,MAR,0.5,22.333333333333332,2.8567323186168294,0.7019527776145424,0.10758276414623232,0.7627450980392159,0.0970675309061605
sachs,PC,MNAR,0.1,24.833333333333332,4.283757079088831,0.6847730756403526,0.09445125375346769,0.6156862745098041,0.11110978535315867
sachs,PC,MNAR,0.2,25.966666666666665,4.286975731158298,0.7021677529183248,0.09801536545288796,0.6058823529411765,0.1400138060589942
sachs,PC,MNAR,0.3,27.333333333333332,4.773008400935651,0.760811660147035,0.11791434329209144,0.7235294117647061,0.13656253459900006
sachs,PC,MNAR,0.5,23.033333333333335,2.4980452127728734,0.8085582010582011,0.13615033079431405,0.8764705882352942,0.09566426996234648
sachs,GES,MCAR,0.1,27.466666666666665,4.248596793371157,0.8101960784313726,0.12416583217539154,0.8137254901960786,0.11974133252968486
sachs,GES,MCAR,0.2,22.866666666666667,2.012603963188903,0.7011351720175251,0.06794185017415887,0.743137254901961,0.06271762414057756
sachs,GES,MCAR,0.3,23.3,2.7183920196347313,0.7576475376475377,0.11233857049485665,0.827450980392157,0.0771360239665871
sachs,GES,MCAR,0.5,19.466666666666665,3.4813130037221676,0.3592592592592593,0.4809556023912687,0.996078431372549,0.014924007747203675
sachs,GES,MAR,0.1,29.433333333333334,2.0288154065914887,0.8664215686274511,0.05964447842863429,0.8666666666666667,0.05969603098881468
sachs,GES,MAR,0.2,28.133333333333333,3.980411807956501,0.8531656252244488,0.12233557911829247,0.8647058823529413,0.11472018426468562
sachs,GES,MAR,0.3,25.2,6.315825771220561,0.7770995834231127,0.21383917784509837,0.8058823529411765,0.18675252711405663
sachs,GES,MAR,0.5,21.633333333333333,4.122966234971206,0.6950982350982351,0.17706305097279182,0.7725490196078433,0.1388012954771622
sachs,GES,MNAR,0.1,30.0,0.0,0.8823529411764707,1.1292025708167404e-16,0.8823529411764707,1.1292025708167404e-16
sachs,GES,MNAR,0.2,29.4,1.4044264997156126,0.866149237472767,0.040552833666082096,0.8666666666666667,0.040675988663736534
sachs,GES,MNAR,0.3,28.233333333333334,3.3081230571004374,0.8695179738562093,0.10898153080051708,0.8823529411764707,0.10011328745844272
sachs,GES,MNAR,0.5,23.4,2.6076809620810595,0.7701698301698303,0.11283275416875614,0.8294117647058825,0.10052956071947822
